guid/image	labels	scores	boxes
d1d539c2-8321-45d9-868a-fd8544e0ce01/0043	[2, 0, 0, 0, 0]	[0.9999980926513672, 0.001017582486383617, 0.00013864150969311595, 0.00010065845708595589, 8.075914956862107e-05]	[[0.0, 0.3402634561061859, 0.6091530919075012, 0.6417255401611328], [0.0, 0.3015061020851135, 0.6395254731178284, 0.6738176345825195], [0.041668813675642014, 0.007992810569703579, 0.09753476083278656, 0.03416810929775238], [0.06117092818021774, 0.002583602908998728, 0.14950737357139587, 0.029905738309025764], [0.04561956599354744, 0.006252648308873177, 0.13557733595371246, 0.03419717401266098]]
400a07ae-a945-41de-8a94-b0bf655474e5/0002	[1, 1, 2, 1, 1]	[0.9999995231628418, 0.16377706825733185, 0.002420227974653244, 0.002252414356917143, 0.0003602256183512509]	[[0.2978602349758148, 0.3844955265522003, 0.5412169098854065, 0.5304294228553772], [0.4024437963962555, 0.002773553365841508, 0.4658568799495697, 0.01848934032022953], [0.39250075817108154, 0.0013824607012793422, 0.46300727128982544, 0.015342273749411106], [0.38496991991996765, 0.0025704626459628344, 0.5621867775917053, 0.01976875215768814], [0.39637255668640137, 0.005815303418785334, 0.5006303787231445, 0.02607772871851921]]
8e5bfc79-ce93-4752-89f8-ca76db553240/0036	[1, 1, 2, 0, 1]	[0.9999986886978149, 0.0035827383399009705, 0.0034657756332308054, 0.0011657100403681397, 0.0008132829680107534]	[[0.4029574394226074, 0.8576135039329529, 0.49846240878105164, 0.9970698356628418], [0.4245215058326721, 0.001947929384186864, 0.48545730113983154, 0.020217683166265488], [0.3993561565876007, 0.00143098970875144, 0.4694903492927551, 0.01731252484023571], [0.4041938781738281, 0.0016031614504754543, 0.4705815017223358, 0.018619611859321594], [0.41554319858551025, 0.0011747071985155344, 0.4676935076713562, 0.02071891725063324]]
8b2d3265-8b38-439d-86e9-92dccfee4cb5/0046	[1, 2, 2, 2, 2]	[0.9999994039535522, 2.7347097784513608e-05, 2.6268658984918147e-05, 1.929410245793406e-05, 1.6716370737412944e-05]	[[0.39322996139526367, 0.48484036326408386, 0.4843692183494568, 0.5634929537773132], [0.37401196360588074, 0.010321884416043758, 0.4140672981739044, 0.03538054972887039], [0.3918677568435669, 0.0638139545917511, 0.42173126339912415, 0.0893675833940506], [0.3596597909927368, 0.008018760941922665, 0.42200419306755066, 0.028387421742081642], [0.0, 0.36510780453681946, 0.9633925557136536, 1.0]]
400a07ae-a945-41de-8a94-b0bf655474e5/0132	[1, 0, 0, 0, 0]	[0.9999998807907104, 0.0010595372878015041, 0.00033078721025958657, 0.00020302843768149614, 6.268187280511484e-05]	[[0.32851797342300415, 0.8757544159889221, 0.4306896924972534, 1.0], [0.07445032894611359, 0.002196167828515172, 0.15981322526931763, 0.027163222432136536], [0.09338872879743576, 0.005408878438174725, 0.17429257929325104, 0.0334811732172966], [0.10537491738796234, 0.002333548152819276, 0.1969762146472931, 0.024935008957982063], [0.05808937922120094, 0.005907416809350252, 0.1497802585363388, 0.036421168595552444]]
8e5bfc79-ce93-4752-89f8-ca76db553240/0046	[1, 2, 0, 0, 1]	[0.9999939203262329, 0.00012139487080276012, 7.959767390275374e-05, 7.761646702419966e-05, 6.5785032347776e-05]	[[0.3930492699146271, 0.6141810417175293, 0.4208908975124359, 0.6588526368141174], [0.3875668942928314, 0.6166459321975708, 0.42002660036087036, 0.6567144989967346], [0.3865674138069153, 0.6169846057891846, 0.4217778742313385, 0.6632291078567505], [0.07229182869195938, 0.007616410963237286, 0.1660601943731308, 0.029312144964933395], [0.46294692158699036, 0.0028061349876224995, 0.6316661834716797, 0.026376664638519287]]
047b864f-0753-448b-9483-f990ae41abaf/0102	[1, 2, 2, 0, 1]	[0.9999992847442627, 2.4062568627414294e-05, 1.6530037100892514e-05, 1.031774536386365e-05, 1.3069247870589606e-06]	[[0.37179073691368103, 0.2912389934062958, 0.452505886554718, 0.3606168031692505], [0.3667837381362915, 0.2933385670185089, 0.45390433073043823, 0.35756298899650574], [0.0, 0.31841617822647095, 0.9358329772949219, 1.0], [0.3760758340358734, 0.2904525697231293, 0.4551636576652527, 0.35486868023872375], [0.0, 0.2529888153076172, 0.8399513363838196, 0.9472978711128235]]
db3d52ee-4a97-41cc-b73d-b5d696f915ea/0006	[2, 0, 0, 0, 1]	[0.9999805688858032, 0.00035039419890381396, 0.00034465157659724355, 0.00011042776168324053, 8.718052413314581e-05]	[[0.3759225904941559, 0.46954238414764404, 0.4490612745285034, 0.5173818469047546], [0.3755069077014923, 0.4668837785720825, 0.4523099660873413, 0.5190938711166382], [0.0816064104437828, 0.007409137673676014, 0.14058749377727509, 0.02831876650452614], [0.06723746657371521, 0.007374412380158901, 0.1500152200460434, 0.03956356644630432], [0.38200515508651733, 0.4708501994609833, 0.4488890469074249, 0.5160003900527954]]
28016933-19b0-4398-a4bb-8362267395ba/0030	[1, 2, 0, 1, 2]	[0.9999997615814209, 6.585093069588766e-05, 3.097343142144382e-05, 2.02732171601383e-05, 1.949564193637343e-06]	[[0.3701733350753784, 0.4608594477176666, 0.6626774072647095, 0.6878796219825745], [0.3411369323730469, 0.4632229506969452, 0.6704131364822388, 0.6857225894927979], [0.3122597634792328, 0.45541080832481384, 0.7023435831069946, 0.6840908527374268], [0.3872171640396118, 0.37315455079078674, 0.4210532605648041, 0.4075993597507477], [0.38055652379989624, 0.3764124810695648, 0.4198668897151947, 0.4017697274684906]]
3f70775d-223d-4929-b6ac-ab687814a34d/0077	[1, 0, 2, 1, 2]	[0.9999991655349731, 4.6149179979693145e-05, 3.387692413525656e-05, 2.4402215785812587e-05, 1.0645670045050792e-05]	[[0.45808130502700806, 0.031005624681711197, 0.493885338306427, 0.07182236760854721], [0.45455703139305115, 0.03319479152560234, 0.4896541237831116, 0.07250802963972092], [0.45333626866340637, 0.03257570415735245, 0.49317634105682373, 0.06908845156431198], [0.02398681640625, 0.0, 0.5536096096038818, 0.9289341568946838], [0.0, 0.0, 0.9120503067970276, 1.0]]
53f2206c-7284-413b-86eb-bd9a86f279bb/0123	[1, 2, 0, 2, 0]	[0.9999642372131348, 0.0006752386689186096, 0.00034224343835376203, 0.00015212441212497652, 2.172305903513916e-05]	[[0.004478373099118471, 0.03852076828479767, 0.68534255027771, 0.7877400517463684], [0.03900944069027901, 0.0, 0.6022912859916687, 0.9326732754707336], [0.11531616002321243, 0.0421036072075367, 0.5971677899360657, 0.7862614393234253], [0.0, 0.0, 0.9200299978256226, 0.8626447916030884], [0.0, 0.08604634553194046, 0.7761335968971252, 0.7887974381446838]]
4d5aa6f5-6d2e-444a-8960-e73c62cde93f/0024	[2, 0, 1, 0, 0]	[0.9999607801437378, 7.535976328654215e-05, 1.9223052731831558e-05, 5.537771698982397e-07, 3.7263151853039744e-07]	[[0.399699330329895, 0.523396372795105, 0.4260847568511963, 0.540971040725708], [0.3986843526363373, 0.5228080153465271, 0.42674750089645386, 0.542776346206665], [0.40344977378845215, 0.5234147310256958, 0.4262637495994568, 0.542826235294342], [0.009180842898786068, 0.9488275051116943, 0.04258539900183678, 0.9952501654624939], [0.14684967696666718, 0.13558976352214813, 0.45901232957839966, 0.30493679642677307]]
2ff64915-103c-4924-a543-f4c7a16832e0/0022	[1, 2, 1, 1, 0]	[0.9999960660934448, 0.00012512684043031186, 8.625871851108968e-05, 1.9024420907953754e-05, 8.039634849410504e-06]	[[0.3252527713775635, 0.2866557240486145, 0.36866235733032227, 0.3213942050933838], [0.0, 0.13250084221363068, 0.9243725538253784, 1.0], [0.009454996325075626, 0.15360082685947418, 0.9193273186683655, 0.9538090825080872], [0.04217767342925072, 0.12889309227466583, 0.5288865566253662, 1.0], [0.32274898886680603, 0.28401628136634827, 0.36496058106422424, 0.32580143213272095]]
cb65a1e9-c01f-49ce-8e46-0f791aae4bf9/0116	[2, 2, 2, 0, 2]	[0.9999971389770508, 0.0002223178162239492, 4.682389771915041e-05, 1.6161757230293006e-05, 1.4277911759563722e-05]	[[0.3906520903110504, 0.04084548354148865, 0.4606529772281647, 0.10105723887681961], [0.37947365641593933, 0.012347187846899033, 0.4388454854488373, 0.04212823137640953], [0.3670412600040436, 0.009453943930566311, 0.4490697383880615, 0.0348455011844635], [0.38728055357933044, 0.04011847451329231, 0.45524516701698303, 0.10218951851129532], [0.36240920424461365, 0.00799262523651123, 0.4616299867630005, 0.026614535599946976]]
8a90461a-c068-4e68-bbe5-452fdd2f26de/0073	[0, 2, 1, 2, 0]	[0.9771141409873962, 0.39368003606796265, 0.0004055437457282096, 0.00023135729134082794, 6.900676089571789e-05]	[[0.11112804710865021, 1.4604361240344588e-05, 0.6252263784408569, 0.07010716944932938], [0.12667831778526306, 0.0004677646793425083, 0.6409329175949097, 0.0764835849404335], [0.19667905569076538, 0.0, 0.6029269099235535, 0.0707087442278862], [0.35331055521965027, 0.9792198538780212, 0.41256633400917053, 1.0], [0.35063326358795166, 0.9785873889923096, 0.40978991985321045, 0.9992652535438538]]
53f2206c-7284-413b-86eb-bd9a86f279bb/0041	[1, 2, 0, 2, 2]	[0.9999350309371948, 0.0005620202282443643, 0.0002224827476311475, 0.0001622115378268063, 0.00013524982205126435]	[[0.0, 0.012866873294115067, 0.7099928855895996, 0.8317338824272156], [0.046636760234832764, 0.0141011793166399, 0.5987070202827454, 0.8928252458572388], [0.10545631498098373, 0.07001495361328125, 0.5970708727836609, 0.78004390001297], [0.0, 0.0, 0.874835193157196, 0.8472395539283752], [0.09431560337543488, 0.010522577911615372, 0.13855132460594177, 0.02612478658556938]]
3f70775d-223d-4929-b6ac-ab687814a34d/0100	[1, 1, 2, 0, 1]	[0.9999984502792358, 0.14095164835453033, 0.08603443205356598, 0.0013928102562204003, 6.149236014607595e-06]	[[0.45187366008758545, 0.16616304218769073, 0.5005788803100586, 0.23039592802524567], [0.44940444827079773, 0.0, 0.4726940989494324, 0.017526792362332344], [0.44031423330307007, 0.0, 0.4690074324607849, 0.015736717730760574], [0.4396883547306061, 0.0, 0.4656504988670349, 0.018237395212054253], [0.051639262586832047, 0.0, 0.44632983207702637, 0.9124562740325928]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0198	[1, 0, 2, 2, 2]	[0.9999998807907104, 4.69773294753395e-06, 2.954429191959207e-06, 1.297324047300208e-06, 6.349964110086148e-07]	[[0.4112711250782013, 0.28494688868522644, 0.4973055422306061, 0.3844011723995209], [0.39900943636894226, 0.29226982593536377, 0.500200092792511, 0.38600853085517883], [0.4022590219974518, 0.2899928689002991, 0.4970046281814575, 0.3802754580974579], [0.0, 0.24600821733474731, 0.923859715461731, 0.9818907976150513], [0.0, 0.5812692046165466, 0.9295505285263062, 0.9932035207748413]]
6e8c6f50-8a18-4f27-a9cc-3ab775d7bc9c/0044	[2, 1, 0, 1, 2]	[0.9998947381973267, 0.0010291804792359471, 5.7940083934227005e-05, 2.587980361568043e-06, 2.251051000712323e-06]	[[0.3808843493461609, 0.41950228810310364, 0.412465900182724, 0.43116724491119385], [0.3861856162548065, 0.41899383068084717, 0.41266974806785583, 0.43305113911628723], [0.37827906012535095, 0.41996705532073975, 0.4119553864002228, 0.4329715967178345], [0.3850305676460266, 0.4235517084598541, 0.41224953532218933, 0.4351661205291748], [0.38195666670799255, 0.4244278371334076, 0.4129652976989746, 0.4339223802089691]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0154	[2, 1, 0, 1, 1]	[0.9999945163726807, 5.6352891988353804e-05, 5.0774535338860005e-05, 2.0643515199481044e-06, 2.0039540231664432e-06]	[[0.3926853835582733, 0.5008057355880737, 0.42641526460647583, 0.5209690928459167], [0.39730894565582275, 0.49978941679000854, 0.4272608458995819, 0.5215697288513184], [0.3947138488292694, 0.49918118119239807, 0.42714834213256836, 0.5237858295440674], [0.06006862223148346, 0.003893383080139756, 0.16110843420028687, 0.023383459076285362], [0.04516349732875824, 0.008584086783230305, 0.10510699450969696, 0.03129272535443306]]
8e5bfc79-ce93-4752-89f8-ca76db553240/0013	[1, 0, 0, 0, 0]	[1.0, 0.000433326349593699, 4.6553257561754435e-05, 3.8882284570718184e-05, 3.447676863288507e-05]	[[0.3095618486404419, 0.3454306125640869, 0.7435572743415833, 0.6684224009513855], [0.08206233382225037, 0.00562158552929759, 0.15947923064231873, 0.02691888064146042], [0.0938464105129242, 0.008573959581553936, 0.1775171458721161, 0.02854609489440918], [0.34268268942832947, 0.3738730549812317, 0.6758492588996887, 0.6812102198600769], [0.03744788467884064, 0.002742591081187129, 0.3136257231235504, 0.05122813954949379]]
630f5200-f86e-490f-8764-1ecf1d398f5b/0160	[2, 2, 0, 0, 0]	[0.9999963045120239, 6.712327740387991e-05, 6.525076605612412e-05, 4.347139110905118e-05, 2.0864865291514434e-05]	[[0.33572691679000854, 0.4094441533088684, 0.5170990824699402, 0.4693053960800171], [0.0, 0.294815331697464, 0.8572407364845276, 0.9941349029541016], [0.07848023623228073, 0.009883246384561062, 0.15058094263076782, 0.02646486461162567], [0.07714203745126724, 0.0071821375750005245, 0.1688384860754013, 0.029354233294725418], [0.33023685216903687, 0.41092756390571594, 0.5094719529151917, 0.47081610560417175]]
483efc67-5354-4368-bcdb-f51559dda379/0020	[1, 2, 0, 2, 1]	[0.9999986886978149, 4.0557879401603714e-05, 7.9647870734334e-06, 5.96166864852421e-06, 1.7954785107576754e-06]	[[0.3189777135848999, 0.38873061537742615, 0.3705604672431946, 0.46341753005981445], [0.31340205669403076, 0.3899827003479004, 0.3700031340122223, 0.4571753442287445], [0.31982943415641785, 0.3934480845928192, 0.3672685921192169, 0.4543411433696747], [0.0, 0.30642351508140564, 0.9117323160171509, 1.0], [0.0, 0.3374183475971222, 0.779719889163971, 0.973580539226532]]
986ae770-def6-4df5-9382-83dc77e6baf2/0100	[1, 2, 0, 1, 2]	[0.9999994039535522, 2.666393447725568e-05, 1.6446721929241903e-05, 1.71672024862346e-06, 1.2070892125848331e-06]	[[0.38435521721839905, 0.5409870147705078, 0.42950570583343506, 0.574666440486908], [0.3808158338069916, 0.5423930883407593, 0.4309276342391968, 0.5747886300086975], [0.3866310119628906, 0.5423017144203186, 0.43137362599372864, 0.5762324333190918], [0.022316211834549904, 0.0, 0.3260051906108856, 0.058050502091646194], [0.0, 0.6302943229675293, 0.9249178171157837, 0.9983245134353638]]
dd49d264-aecf-4d23-92c1-adf35a8ab29b/0100	[0, 2, 1, 1, 2]	[0.9999997615814209, 0.00018403682042844594, 9.334629430668429e-05, 3.562514029908925e-05, 2.932468532890198e-06]	[[0.0, 0.2378217577934265, 0.7310285568237305, 0.7264013886451721], [0.0, 0.18626314401626587, 0.7090075016021729, 0.8290471434593201], [0.02254713885486126, 0.12139250338077545, 0.6580660939216614, 0.7779492735862732], [0.054018065333366394, 0.24292942881584167, 0.6778138875961304, 0.6528832912445068], [0.012710846029222012, 0.0, 0.3295479416847229, 0.05257376655936241]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0233	[1, 2, 0, 1, 2]	[0.9999988079071045, 0.005884842481464148, 0.00012794653594028205, 8.351657015737146e-05, 4.5863267587265e-05]	[[0.3382300138473511, 8.618866559118032e-05, 0.5583688616752625, 0.0848051980137825], [0.33758577704429626, 0.0030472215730696917, 0.5601790547370911, 0.08218669891357422], [0.3770411014556885, 0.0, 0.5627049207687378, 0.08728355914354324], [0.3686276078224182, 0.9766647815704346, 0.4021419286727905, 1.0], [0.35877957940101624, 0.9786171317100525, 0.4009498357772827, 0.9996389746665955]]
cb65a1e9-c01f-49ce-8e46-0f791aae4bf9/0045	[2, 0, 2, 2, 0]	[0.9999959468841553, 2.6891653760685585e-05, 1.9995115508208983e-05, 1.609496757737361e-05, 1.498116398579441e-05]	[[0.3612848222255707, 0.5957775115966797, 0.40598827600479126, 0.6311664581298828], [0.35902270674705505, 0.5917189121246338, 0.4083833694458008, 0.6356499195098877], [0.35481515526771545, 0.0028786729089915752, 0.4210701882839203, 0.04216209426522255], [0.3301277756690979, 0.0022657678928226233, 0.4370298683643341, 0.026615751907229424], [0.34625959396362305, 0.004708887077867985, 0.4089345633983612, 0.04017915576696396]]
435ebc5b-40e8-401c-9816-8f584427f82c/0017	[1, 2, 1, 2, 0]	[0.9999983310699463, 0.00019411079119890928, 4.450078267836943e-05, 1.6883795979083516e-05, 1.5026213077362627e-05]	[[0.40201738476753235, 0.3774203360080719, 0.44813764095306396, 0.426908016204834], [0.004754842258989811, 0.2983417809009552, 0.9640383720397949, 1.0], [0.0, 0.30693525075912476, 0.8995063304901123, 1.0], [0.39803263545036316, 0.37936678528785706, 0.44811058044433594, 0.425938218832016], [0.4021654725074768, 0.37968820333480835, 0.4487415850162506, 0.4263019859790802]]
62995e02-a09c-43f2-99e5-e23381915b37/0043	[1, 0, 0, 0, 1]	[0.9999997615814209, 0.00011333899601595476, 3.510609167278744e-05, 1.2481446901801974e-05, 9.191790923068766e-06]	[[0.38054341077804565, 0.4383687973022461, 0.5015577077865601, 0.5212896466255188], [0.06395130604505539, 0.00556047772988677, 0.1458607316017151, 0.02614467404782772], [0.048870883882045746, 0.006987984292209148, 0.138926163315773, 0.03139061853289604], [0.046307455748319626, 0.00822891853749752, 0.10643985122442245, 0.031867615878582], [0.06227777153253555, 0.003328865859657526, 0.15784308314323425, 0.02821492962539196]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0217	[1, 2, 0, 2, 1]	[0.9999998807907104, 2.8958484108443372e-05, 1.0679698789317627e-05, 8.82193762663519e-06, 7.770847332722042e-06]	[[0.3552713990211487, 0.36869439482688904, 0.7321686148643494, 0.664393424987793], [0.3572711646556854, 0.38396671414375305, 0.7309597730636597, 0.6550248861312866], [0.403545081615448, 0.38004037737846375, 0.7365660071372986, 0.6652411818504333], [0.3263912796974182, 0.27592283487319946, 0.3553653061389923, 0.29487842321395874], [0.020020609721541405, 0.0, 0.497999906539917, 0.4577869474887848]]
65dea526-0728-4260-8075-fcf76c96fca9/0016	[1, 0, 1, 2, 0]	[0.9999998807907104, 1.9510098354658112e-05, 9.104276614380069e-06, 6.2726271607971285e-06, 3.814473075181013e-06]	[[0.3895412087440491, 0.5634350180625916, 0.41728314757347107, 0.5987505912780762], [0.1918802410364151, 0.4848988950252533, 0.23376472294330597, 0.505868136882782], [0.6162339448928833, 0.03872671723365784, 1.0, 0.9415199160575867], [0.38510921597480774, 0.5638211965560913, 0.41841626167297363, 0.5952030420303345], [0.3881555497646332, 0.561564564704895, 0.4193424880504608, 0.5981376767158508]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0076	[1, 2, 0, 2, 1]	[0.9999979734420776, 0.004425571300089359, 0.00033945884206332266, 1.091280864784494e-05, 2.4758778636169154e-06]	[[0.38519567251205444, 0.39234498143196106, 0.4103356599807739, 0.444453626871109], [0.3817914128303528, 0.39518123865127563, 0.4109911322593689, 0.4416296184062958], [0.37882158160209656, 0.39571651816368103, 0.4112117886543274, 0.44445309042930603], [0.0, 0.5665397644042969, 0.8943113684654236, 1.0], [0.0003651529841590673, 0.5683101415634155, 0.7391027212142944, 0.9902193546295166]]
f075920b-5e7a-4c75-8ce8-3368d5f4254b/0138	[1, 0, 2, 0, 2]	[1.0, 3.8362570194294676e-05, 3.065995406359434e-05, 2.3205829791095312e-07, 2.0950230350536003e-07]	[[0.3426140546798706, 0.3283093273639679, 0.6768156290054321, 0.5871674418449402], [0.285643070936203, 0.32367056608200073, 0.7388889789581299, 0.5849992632865906], [0.3168066442012787, 0.34352484345436096, 0.6807253360748291, 0.5757994055747986], [0.0441136471927166, 0.006106305401772261, 0.32823625206947327, 0.04964111000299454], [0.002891805022954941, 0.004769559949636459, 0.34723612666130066, 0.050070006400346756]]
06acf647-e2e9-4562-aa42-eed217e5bd84/0077	[0, 2, 1, 1, 1]	[0.9999998807907104, 8.402094681514427e-05, 3.925898636225611e-05, 2.611967829579953e-06, 2.039011633314658e-06]	[[0.06402657181024551, 0.37193357944488525, 0.5902288556098938, 0.6230065226554871], [0.07322289794683456, 0.3857807219028473, 0.6056216359138489, 0.6308405995368958], [0.039569295942783356, 0.39157649874687195, 0.5378879904747009, 0.5985168218612671], [0.0563991479575634, 0.31014326214790344, 0.5706818699836731, 0.6740337610244751], [0.06257996708154678, 0.021030493080615997, 0.11907642334699631, 0.03783257305622101]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0076	[1, 2, 0, 2, 2]	[0.9999977350234985, 6.641734216827899e-05, 1.955123843799811e-05, 2.221338633034975e-07, 1.2207493682581116e-07]	[[0.3991032540798187, 0.5375545024871826, 0.4284898340702057, 0.5591074228286743], [0.396282821893692, 0.5371789932250977, 0.42831888794898987, 0.5578404664993286], [0.39776188135147095, 0.5343448519706726, 0.4315814673900604, 0.5652263164520264], [0.3949221968650818, 0.4852292239665985, 0.4278525412082672, 0.499293714761734], [0.0, 0.567873477935791, 0.9200053811073303, 0.9994005560874939]]
1db03ecc-1d79-474b-bbbf-79d0b16bf277/0018	[1, 2, 0, 0, 0]	[0.9999980926513672, 1.243763017555466e-05, 5.340431926015299e-06, 2.119850250892341e-06, 1.942978769875481e-06]	[[0.4019438326358795, 0.4428623616695404, 0.4773009419441223, 0.48843181133270264], [0.40010806918144226, 0.44327065348625183, 0.47427985072135925, 0.4869367182254791], [0.0507994070649147, 0.011403718963265419, 0.10131002962589264, 0.0267172921448946], [0.39776042103767395, 0.4403187036514282, 0.48195964097976685, 0.49080973863601685], [0.4044393301010132, 0.4482012093067169, 0.4626657962799072, 0.48508262634277344]]
