guid/image	labels	scores	boxes
3f70775d-223d-4929-b6ac-ab687814a34d/0077	[1, 1, 1, 1, 1]	[0.9999762773513794, 0.028648782521486282, 0.015262809582054615, 0.012010483071208, 0.007249855436384678]	[[0.45818036794662476, 0.03030865639448166, 0.49603787064552307, 0.07237625867128372], [0.0, 0.06785506010055542, 0.41966789960861206, 1.0], [0.0, 0.0, 0.3968426287174225, 0.5884147882461548], [0.6468861699104309, 0.0, 1.0, 0.37907955050468445], [0.0, 0.0, 0.5100495219230652, 0.24884262681007385]]
53f2206c-7284-413b-86eb-bd9a86f279bb/0123	[1, 1, 1, 1, 1]	[0.999586284160614, 0.06898574531078339, 0.06331582367420197, 0.008381841704249382, 0.0072531746700406075]	[[0.0, 0.012385278940200806, 0.6758244037628174, 0.8592783212661743], [0.01364965084940195, 0.39016732573509216, 0.7648901343345642, 0.9278600215911865], [0.05070352181792259, 0.598524808883667, 0.7922873497009277, 0.98961341381073], [0.010044592432677746, 0.0, 0.5269849300384521, 0.5375765562057495], [0.0, 0.5243515968322754, 0.3920767307281494, 1.0]]
4d5aa6f5-6d2e-444a-8960-e73c62cde93f/0024	[2, 1, 1, 1, 1]	[0.9953323006629944, 0.06785935163497925, 0.024211253970861435, 0.011649100109934807, 0.009855080395936966]	[[0.3989866077899933, 0.5245699882507324, 0.4256472587585449, 0.5397350788116455], [0.0, 0.027263939380645752, 0.4182124137878418, 1.0], [0.0, 0.0, 0.39120665192604065, 0.40044623613357544], [0.32742583751678467, 0.0, 0.3745605945587158, 0.06312234699726105], [0.0026035886257886887, 0.0, 0.6925583481788635, 0.4856930375099182]]
2ff64915-103c-4924-a543-f4c7a16832e0/0022	[1, 1, 1, 1, 1]	[0.9999895095825195, 0.27264881134033203, 0.15847457945346832, 0.10970412939786911, 0.022254038602113724]	[[0.3242158889770508, 0.2855698764324188, 0.36961156129837036, 0.3223566710948944], [0.0, 0.0, 0.40649697184562683, 0.5003872513771057], [0.0, 0.0, 0.41540971398353577, 0.9820301532745361], [0.0, 0.5372730493545532, 0.3809315860271454, 1.0], [0.0, 0.6863720417022705, 0.5210390090942383, 0.993767499923706]]
cb65a1e9-c01f-49ce-8e46-0f791aae4bf9/0116	[2, 1, 1, 1, 1]	[0.9999419450759888, 0.08880531787872314, 0.040741514414548874, 0.023139579221606255, 0.008970186114311218]	[[0.38668176531791687, 0.044987522065639496, 0.4587680399417877, 0.10108325630426407], [0.0, 0.0, 0.4201255440711975, 0.9356511831283569], [0.0, 0.0, 0.3890346884727478, 0.4137508273124695], [0.0, 0.6809519529342651, 0.5575189590454102, 1.0], [0.0, 0.7006216049194336, 0.8725688457489014, 1.0]]
8a90461a-c068-4e68-bbe5-452fdd2f26de/0073	[0, 1, 1, 1, 2]	[0.9924653768539429, 0.07702907174825668, 0.025346174836158752, 0.01468520238995552, 0.01463283784687519]	[[0.12500910460948944, 0.002062249928712845, 0.5950139760971069, 0.06746815145015717], [0.0, 0.0, 0.39638885855674744, 0.607316255569458], [0.0, 0.0, 0.5918749570846558, 0.3859797716140747], [0.0, 0.5468083024024963, 0.38980770111083984, 1.0], [0.14372090995311737, 0.0, 0.607303261756897, 0.06029316037893295]]
53f2206c-7284-413b-86eb-bd9a86f279bb/0041	[1, 1, 1, 1, 1]	[0.9995574355125427, 0.05120011791586876, 0.012570829130709171, 0.00712811341509223, 0.005985770374536514]	[[0.0020583374425768852, 0.011853814125061035, 0.6789466142654419, 0.8526748418807983], [0.041593074798583984, 0.25706103444099426, 0.8224630951881409, 0.9511619806289673], [0.0, 0.5229897499084473, 0.3911241292953491, 1.0], [0.09126623719930649, 0.6348147392272949, 0.6989732384681702, 0.9849052429199219], [0.0, 0.1870027780532837, 0.685318648815155, 0.6968082189559937]]
3f70775d-223d-4929-b6ac-ab687814a34d/0100	[1, 1, 1, 1, 1]	[0.9999892711639404, 0.2694941461086273, 0.0207853801548481, 0.01764650270342827, 0.012096959166228771]	[[0.4533975124359131, 0.16632488369941711, 0.4993358254432678, 0.23054292798042297], [0.4431783854961395, 0.0015626344829797745, 0.47578731179237366, 0.029078222811222076], [0.0, 0.1026049256324768, 0.4212626814842224, 1.0], [0.4385519027709961, 0.0020831795409321785, 0.4830695390701294, 0.023006942123174667], [0.6503527760505676, 0.0, 1.0, 0.3870067894458771]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0198	[1, 1, 1, 1, 1]	[0.9999922513961792, 0.05300876498222351, 0.020809220150113106, 0.013896828517317772, 0.012815895490348339]	[[0.41256141662597656, 0.28750988841056824, 0.4986041784286499, 0.38282492756843567], [0.0, 0.0, 0.43349143862724304, 0.7205020189285278], [0.014480563811957836, 0.08329075574874878, 0.5241092443466187, 0.6128012537956238], [0.0, 0.0, 0.40544891357421875, 0.41517019271850586], [0.0, 0.3651584982872009, 0.42851781845092773, 1.0]]
6e8c6f50-8a18-4f27-a9cc-3ab775d7bc9c/0044	[2, 1, 1, 1, 1]	[0.7544837594032288, 0.03149394318461418, 0.018861176446080208, 0.017209839075803757, 0.011325023137032986]	[[0.38036972284317017, 0.4197593331336975, 0.41485875844955444, 0.43330132961273193], [0.0, 0.7596810460090637, 0.6828124523162842, 1.0], [0.0, 0.5441701412200928, 0.373460054397583, 1.0], [0.0, 0.0, 0.39877796173095703, 0.5229840278625488], [0.0, 0.5260429382324219, 0.68449866771698, 1.0]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0154	[2, 1, 1, 1, 1]	[0.9996858835220337, 0.07530824095010757, 0.030467504635453224, 0.017601506784558296, 0.015886357054114342]	[[0.39204058051109314, 0.5009328126907349, 0.42508140206336975, 0.5199158191680908], [0.0, 0.0, 0.42091891169548035, 0.9107668399810791], [0.0, 0.24220257997512817, 0.4317820966243744, 1.0], [0.0, 0.5520468354225159, 0.413072794675827, 1.0], [0.0, 0.0, 0.5592697858810425, 0.2656717300415039]]
8e5bfc79-ce93-4752-89f8-ca76db553240/0013	[1, 1, 1, 1, 1]	[0.999992847442627, 0.0758833959698677, 0.02799285389482975, 0.027635812759399414, 0.026521727442741394]	[[0.3110521733760834, 0.34494563937187195, 0.7430050373077393, 0.6682208776473999], [0.0, 0.02816331386566162, 0.41571280360221863, 1.0], [0.0, 0.5560977458953857, 0.3992653787136078, 1.0], [0.0, 0.7879301309585571, 0.7333341836929321, 1.0], [0.0, 0.7011716365814209, 0.5438486337661743, 1.0]]
630f5200-f86e-490f-8764-1ecf1d398f5b/0160	[2, 1, 1, 1, 1]	[0.999977707862854, 0.12221796810626984, 0.03563513979315758, 0.008694279007613659, 0.006677342113107443]	[[0.333830863237381, 0.40887919068336487, 0.5158453583717346, 0.4696108400821686], [0.0, 0.0, 0.4025518000125885, 0.6889363527297974], [0.0, 0.0, 0.36006197333335876, 0.39501750469207764], [0.6310120224952698, 0.0, 1.0, 0.5112080574035645], [0.0, 0.0, 0.9695791602134705, 0.21002784371376038]]
483efc67-5354-4368-bcdb-f51559dda379/0020	[1, 1, 1, 1, 1]	[0.9999533891677856, 0.06375207006931305, 0.0411895252764225, 0.01105591282248497, 0.010985140688717365]	[[0.3211921155452728, 0.3893688917160034, 0.3706815540790558, 0.46328961849212646], [0.0, 0.2627294361591339, 0.41703110933303833, 1.0], [0.0, 0.0, 0.4232180118560791, 0.5336670875549316], [0.6344618797302246, 0.0, 1.0, 0.3746408224105835], [0.5043554306030273, 0.0, 1.0, 0.21648897230625153]]
986ae770-def6-4df5-9382-83dc77e6baf2/0100	[1, 1, 1, 1, 1]	[0.9999773502349854, 0.04525250941514969, 0.03589484468102455, 0.026654019951820374, 0.019762396812438965]	[[0.3858783543109894, 0.5398604273796082, 0.4293479025363922, 0.5758406519889832], [0.0, 0.5444728136062622, 0.4115653336048126, 1.0], [0.0, 0.0, 0.5306757688522339, 0.2666250169277191], [0.0, 0.7403051257133484, 0.8475964069366455, 1.0], [0.0, 0.0, 0.40635183453559875, 0.3942610025405884]]
dd49d264-aecf-4d23-92c1-adf35a8ab29b/0100	[0, 1, 1, 2, 1]	[0.9999383687973022, 0.046577487140893936, 0.014151585288345814, 0.010893997736275196, 0.010735256597399712]	[[0.008902080357074738, 0.24440322816371918, 0.7207485437393188, 0.7252708673477173], [0.00017118030518759042, 0.7783969044685364, 0.814975380897522, 1.0], [0.04306165874004364, 0.0, 0.6938315629959106, 0.2514304518699646], [0.002396063646301627, 0.25654375553131104, 0.7372572422027588, 0.7145583629608154], [0.0, 0.6042608618736267, 0.9897812604904175, 1.0]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0233	[1, 1, 1, 1, 1]	[0.9999924898147583, 0.07734834402799606, 0.06789188832044601, 0.038085199892520905, 0.013961883261799812]	[[0.33777326345443726, 0.0, 0.552284836769104, 0.0875549465417862], [0.0, 0.0, 0.4126927852630615, 0.5232765674591064], [0.035354722291231155, 0.0, 0.6457626819610596, 0.38990503549575806], [0.0, 0.10849544405937195, 0.4172409474849701, 1.0], [0.032721973955631256, 0.0, 0.50719153881073, 0.24147039651870728]]
cb65a1e9-c01f-49ce-8e46-0f791aae4bf9/0045	[2, 1, 1, 1, 1]	[0.9999669790267944, 0.08418307453393936, 0.07228471338748932, 0.031747523695230484, 0.013623754493892193]	[[0.35904794931411743, 0.5959455370903015, 0.40552330017089844, 0.6320357918739319], [0.0, 0.0, 0.3918749690055847, 0.3889802098274231], [0.0, 0.015977442264556885, 0.42069852352142334, 1.0], [0.0, 0.0, 0.5158054232597351, 0.2412397563457489], [0.0, 0.5483437776565552, 0.39264193177223206, 1.0]]
435ebc5b-40e8-401c-9816-8f584427f82c/0017	[1, 1, 1, 1, 1]	[0.9999918937683105, 0.15005731582641602, 0.01590501144528389, 0.015194039791822433, 0.006580859422683716]	[[0.402404248714447, 0.3781680166721344, 0.44837310910224915, 0.4273846447467804], [0.0, 0.08326047658920288, 0.40009528398513794, 1.0], [0.0, 0.5202442407608032, 0.41172894835472107, 1.0], [0.008101251907646656, 0.6300572752952576, 0.723283588886261, 1.0], [0.014412807300686836, 0.7808674573898315, 0.7186033129692078, 1.0]]
62995e02-a09c-43f2-99e5-e23381915b37/0043	[1, 1, 1, 1, 1]	[0.9999945163726807, 0.09609702229499817, 0.042151112109422684, 0.028341414406895638, 0.02435588277876377]	[[0.37617215514183044, 0.4385959506034851, 0.5024763345718384, 0.523314356803894], [0.0, 0.0, 0.3761245608329773, 0.7441003322601318], [0.0, 0.393716961145401, 0.42888501286506653, 1.0], [0.0, 0.0, 0.3791297972202301, 0.4362528324127197], [0.003959669265896082, 0.0, 0.49956679344177246, 0.26255887746810913]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0217	[1, 1, 1, 1, 1]	[0.9999861717224121, 0.10437372326850891, 0.05109952390193939, 0.04918244853615761, 0.038090165704488754]	[[0.36097168922424316, 0.36957961320877075, 0.7285230159759521, 0.66317218542099], [0.0, 0.5248055458068848, 0.7247529029846191, 0.9526585340499878], [0.00031589489663019776, 0.0, 0.42414289712905884, 0.9965790510177612], [0.0014354103477671742, 0.0, 0.41698938608169556, 0.5071402788162231], [0.0, 0.39197424054145813, 0.42529296875, 1.0]]
65dea526-0728-4260-8075-fcf76c96fca9/0016	[1, 1, 1, 1, 1]	[0.999983549118042, 0.10023625195026398, 0.08015487343072891, 0.019681254401803017, 0.010799270123243332]	[[0.38972821831703186, 0.5630443692207336, 0.41698789596557617, 0.5990497469902039], [0.0, 0.0, 0.36771997809410095, 0.8071491718292236], [0.004575035069137812, 0.2739488482475281, 0.4074740707874298, 1.0], [0.0010745521867647767, 0.5557591915130615, 0.3736210763454437, 1.0], [2.710264546124108e-08, 0.03909659385681152, 0.4793836772441864, 0.6121974587440491]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0076	[1, 1, 2, 1, 1]	[0.9996384382247925, 0.12675009667873383, 0.03053373657166958, 0.017138510942459106, 0.013930615969002247]	[[0.3856269419193268, 0.39372220635414124, 0.4101905822753906, 0.4432978332042694], [0.0, 0.0, 0.41142353415489197, 0.8929566144943237], [0.3777572810649872, 0.48707520961761475, 0.4007244110107422, 0.4957424998283386], [0.0, 0.5351451635360718, 0.4079408049583435, 1.0], [0.0, 0.0, 1.0, 0.19846640527248383]]
f075920b-5e7a-4c75-8ce8-3368d5f4254b/0138	[1, 1, 1, 1, 1]	[0.9999926090240479, 0.09397637844085693, 0.04858829081058502, 0.02220410667359829, 0.01891002617776394]	[[0.34793621301651, 0.32959848642349243, 0.6800894737243652, 0.5867347717285156], [0.0, 0.0, 0.4238933324813843, 0.8507771492004395], [0.0, 0.4328113794326782, 0.73478764295578, 0.8785784244537354], [0.0, 0.20435667037963867, 0.4326769709587097, 1.0], [0.0, 0.0, 0.4026488661766052, 0.4011836647987366]]
06acf647-e2e9-4562-aa42-eed217e5bd84/0077	[0, 1, 1, 1, 1]	[0.9999654293060303, 0.014354110695421696, 0.011818318627774715, 0.011785333976149559, 0.008652571588754654]	[[0.06403978168964386, 0.37377434968948364, 0.5807900428771973, 0.6232532262802124], [0.0, 0.0, 0.39720654487609863, 0.41024982929229736], [0.0, 0.5446137189865112, 0.3785591721534729, 1.0], [0.0, 0.7508445978164673, 0.9767565727233887, 1.0], [0.002652156399562955, 0.0, 1.0, 0.1926364302635193]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0076	[1, 1, 1, 1, 1]	[0.999984622001648, 0.06664027273654938, 0.019131271168589592, 0.015405557118356228, 0.012710198760032654]	[[0.398584246635437, 0.5375280380249023, 0.42825886607170105, 0.5588943958282471], [0.0, 0.0027050375938415527, 0.4315039813518524, 1.0], [0.0, 0.0, 0.7168390154838562, 0.17670990526676178], [0.0, 0.5330668091773987, 0.414144366979599, 1.0], [0.0, 0.0, 0.8926464319229126, 0.2863260507583618]]
1db03ecc-1d79-474b-bbbf-79d0b16bf277/0018	[1, 1, 1, 1, 1]	[0.9999899864196777, 0.045077383518218994, 0.028549572452902794, 0.02628416381776333, 0.01597677171230316]	[[0.4038591682910919, 0.4430844485759735, 0.4775908887386322, 0.4888496696949005], [0.0, 0.0, 0.41920506954193115, 0.9396426677703857], [0.0, 0.0, 0.42242902517318726, 0.5615053772926331], [0.0, 0.39384225010871887, 0.4302317798137665, 1.0], [0.005882683210074902, 0.3100361227989197, 0.5455228686332703, 0.8769155144691467]]
07fd6b85-0486-4790-ad35-a90a6b79c66c/0043	[2, 1, 1, 1, 1]	[0.999512791633606, 0.07490973174571991, 0.03789588436484337, 0.02039213664829731, 0.007311149965971708]	[[0.38885366916656494, 0.677466869354248, 0.41674384474754333, 0.6969089508056641], [0.0, 0.0, 0.420756071805954, 0.98075270652771], [0.0, 0.39345458149909973, 0.39799055457115173, 1.0], [0.011035600677132607, 0.0, 0.5246911644935608, 0.25422757863998413], [0.0, 0.0, 0.3877445459365845, 0.41188865900039673]]
53f2206c-7284-413b-86eb-bd9a86f279bb/0050	[1, 1, 1, 1, 1]	[0.9996306896209717, 0.08775275945663452, 0.08340693265199661, 0.042459871619939804, 0.011209340766072273]	[[0.000304986082483083, 0.009618580341339111, 0.6763333082199097, 0.8524861335754395], [0.08719620108604431, 0.6014553904533386, 0.8245890736579895, 0.9880742430686951], [0.01725129410624504, 0.35242554545402527, 0.7412427067756653, 0.9293199777603149], [0.0, 0.0, 0.40404820442199707, 0.6325272917747498], [0.0, 0.5259360074996948, 0.39289236068725586, 1.0]]
b192bc1d-aab7-43d2-a367-19efe2d834c2/0039	[1, 1, 1, 1, 1]	[0.9999761581420898, 0.09370941668748856, 0.04041925445199013, 0.03537292778491974, 0.012156615033745766]	[[0.40361732244491577, 0.43793272972106934, 0.4549514055252075, 0.4858831763267517], [0.0, 0.0, 0.40592607855796814, 0.98456209897995], [0.0, 0.34470295906066895, 0.38370662927627563, 1.0], [0.005909203551709652, 0.0, 0.40971291065216064, 0.5046041011810303], [0.0014564825687557459, 0.5801467895507812, 0.3779323101043701, 1.0]]
1dac619e-4123-42e9-bf11-8df2db3facf7/0043	[1, 1, 1, 1, 1]	[0.9999977350234985, 0.05614403635263443, 0.029081420972943306, 0.018911372870206833, 0.005875326227396727]	[[0.3847060203552246, 0.3203776478767395, 0.4115387797355652, 0.34044742584228516], [0.0, 0.05115199089050293, 0.4393432140350342, 1.0], [0.0, 0.0, 0.4264858663082123, 0.6991849541664124], [0.0, 0.5457069873809814, 0.5241864323616028, 1.0], [0.02042490616440773, 0.2237624228000641, 0.5254725813865662, 0.7861745357513428]]
28016933-19b0-4398-a4bb-8362267395ba/0044	[1, 1, 1, 1, 1]	[0.9999915361404419, 0.048140428960323334, 0.01434407476335764, 0.014310987666249275, 0.012967154383659363]	[[0.3628237247467041, 0.46491408348083496, 0.6579071283340454, 0.6970430612564087], [0.0, 0.0, 0.42651093006134033, 0.8951672315597534], [0.0, 0.0, 1.0, 0.18314775824546814], [0.0, 0.5310993194580078, 0.4234805405139923, 1.0], [0.008273000828921795, 0.5069113969802856, 0.7183024883270264, 0.9689843654632568]]
483efc67-5354-4368-bcdb-f51559dda379/0012	[1, 1, 1, 1, 1]	[0.9999812841415405, 0.10464207082986832, 0.03295935317873955, 0.01444153767079115, 0.01343095488846302]	[[0.3325244188308716, 0.5614428520202637, 0.36254796385765076, 0.5830382108688354], [0.0, 0.23289084434509277, 0.42904219031333923, 1.0], [0.0, 0.0, 0.43108752369880676, 0.9593683481216431], [0.0, 0.0, 0.44085758924484253, 0.5088834166526794], [0.0, 0.543256402015686, 0.41192448139190674, 1.0]]
